,index,t_bett,t_spindle,t_motor,M8,M121,M127,M7,given2model,date,welle_z,prediction,DRZ2,interpolated_welle_z
0,0,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:08.752,0.017656249925494194,-0.0009408373832702636,6000.13720703125,0.017656249925494194
1,1,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:13.781,0.017656249925494194,-0.0009408373832702636,6000.13720703125,0.017656249925494194
2,2,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:18.789,0.017656249925494194,-0.0009408373832702636,6000.13720703125,0.017656249925494194
3,3,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:23.853,0.017656249925494194,-0.0009408373832702636,6000.13720703125,0.017656249925494194
4,4,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:28.874,0.017656249925494194,-0.0009408373832702636,6000.13720703125,0.017656249925494194
5,5,22.1,21.7,22.52,0.0,0.0,0.0,0.0,True,2023-03-01 12:55:33.885,0.017656249925494194,-0.0009610934257507324,6000.13720703125,0.017656249925494194
6,6,22.1,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:38.932,0.017656249925494194,-0.0009610934257507324,6000.13720703125,0.017656249925494194
7,7,22.0,21.6,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:43.934,0.017656249925494194,-0.0009610934257507324,6000.13720703125,0.017656249925494194
8,8,22.0,21.6,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:48.990,0.017656249925494194,-0.0009610934257507324,6000.13720703125,0.017656249925494194
9,9,22.0,21.6,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:54.034,0.017656249925494194,-0.0009610934257507324,6000.13720703125,0.017656249925494194
10,10,22.1,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:55:59.045,0.017656249925494194,-0.0009610934257507324,6000.13720703125,0.017656249925494194
11,11,22.0,21.7,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:56:04.072,0.017656249925494194,-0.0008751959800720215,6000.13720703125,0.017656249925494194
12,12,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:09.099,0.017656249925494194,-0.0008751959800720215,6000.13720703125,0.017656249925494194
13,13,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:14.102,0.017656249925494194,-0.0008751959800720215,6000.13720703125,0.017656249925494194
14,14,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:19.193,0.017656249925494194,-0.0008751959800720215,6000.13720703125,0.017656249925494194
15,15,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:24.201,0.017656249925494194,-0.0008751959800720215,6000.13720703125,0.017656249925494194
16,16,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:29.221,0.017656249925494194,-0.0008751959800720215,6000.13720703125,0.017656249925494194
17,17,22.0,21.7,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:56:34.234,0.017656249925494194,-0.0008297309875488281,6000.13720703125,0.017656249925494194
18,18,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:39.296,0.017656249925494194,-0.0008297309875488281,6000.13720703125,0.017656249925494194
19,19,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:44.323,0.017656249925494194,-0.0008297309875488281,6000.13720703125,0.017656249925494194
20,20,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:49.331,0.017656249925494194,-0.0008297309875488281,6000.13720703125,0.017656249925494194
21,21,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:54.359,0.017656249925494194,-0.0008297309875488281,6000.13720703125,0.017656249925494194
22,22,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:56:59.382,0.017656249925494194,-0.0008297309875488281,6000.13720703125,0.017656249925494194
23,23,22.0,21.7,22.51,0.0,0.0,0.0,0.0,True,2023-03-01 12:57:04.412,0.017656249925494194,-0.0007841467857360839,6000.13720703125,0.017656249925494194
24,24,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:09.438,0.017656249925494194,-0.0007841467857360839,6000.13720703125,0.017656249925494194
25,25,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:14.478,0.017656249925494194,-0.0007841467857360839,6000.13720703125,0.017656249925494194
26,26,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:19.536,0.017656249925494194,-0.0007841467857360839,6000.13720703125,0.017656249925494194
27,27,22.0,21.7,22.55,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:24.556,0.017656249925494194,-0.0007841467857360839,6000.13720703125,0.017656249925494194
28,28,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:29.636,0.017656249925494194,-0.0007841467857360839,6000.13720703125,0.017656249925494194
29,29,22.0,21.7,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:57:34.690,0.017656249925494194,-0.0007452378273010254,6000.13720703125,0.017656249925494194
30,30,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:39.722,0.017656249925494194,-0.0007452378273010254,6000.13720703125,0.017656249925494194
31,31,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:44.785,0.017656249925494194,-0.0007452378273010254,6000.13720703125,0.017656249925494194
32,32,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:49.794,0.017656249925494194,-0.0007452378273010254,6000.13720703125,0.017656249925494194
33,33,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:54.803,0.017656249925494194,-0.0007452378273010254,6000.13720703125,0.017656249925494194
34,34,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:57:59.830,0.017656249925494194,-0.0007452378273010254,6000.13720703125,0.017656249925494194
35,35,22.0,21.7,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:58:04.857,0.017656249925494194,-0.0007933254241943359,6000.13720703125,0.017656249925494194
36,36,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:09.902,0.017656249925494194,-0.0007933254241943359,6000.13720703125,0.017656249925494194
37,37,22.1,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:14.913,0.017656249925494194,-0.0007933254241943359,6000.13720703125,0.017656249925494194
38,38,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:19.937,0.017656249925494194,-0.0007933254241943359,6000.13720703125,0.017656249925494194
39,39,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:24.976,0.017656249925494194,-0.0007933254241943359,6000.13720703125,0.017656249925494194
40,40,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:30.056,0.017656249925494194,-0.0007933254241943359,6000.13720703125,0.017656249925494194
41,41,22.0,21.7,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:58:35.059,0.017656249925494194,-0.0008026776313781738,6000.13720703125,0.017656249925494194
42,42,22.0,21.7,22.47,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:40.103,0.017656249925494194,-0.0008026776313781738,6000.13720703125,0.017656249925494194
43,43,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:45.149,0.017656249925494194,-0.0008026776313781738,6000.13720703125,0.017656249925494194
44,44,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:50.188,0.017656249925494194,-0.0008026776313781738,6000.13720703125,0.017656249925494194
45,45,22.0,21.7,22.43,0.0,0.0,0.0,0.0,False,2023-03-01 12:58:55.226,0.017656249925494194,-0.0008026776313781738,6000.13720703125,0.017656249925494194
46,46,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:00.238,0.017656249925494194,-0.0008026776313781738,6000.13720703125,0.017656249925494194
47,47,22.0,21.8,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:59:05.284,0.017656249925494194,-0.0007803068161010742,6000.13720703125,0.017656249925494194
48,48,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:10.301,0.017656249925494194,-0.0007803068161010742,6000.13720703125,0.017656249925494194
49,49,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:15.329,0.017656249925494194,-0.0007803068161010742,6000.13720703125,0.017656249925494194
50,50,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:20.332,0.017656249925494194,-0.0007803068161010742,6000.13720703125,0.017656249925494194
51,51,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:25.367,0.017656249925494194,-0.0007803068161010742,6000.13720703125,0.017656249925494194
52,52,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:30.418,0.017656249925494194,-0.0007803068161010742,6000.13720703125,0.017656249925494194
53,53,22.1,21.8,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 12:59:35.430,0.017656249925494194,-0.0008046755790710449,6000.13720703125,0.017656249925494194
54,54,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:40.451,0.017656249925494194,-0.0008046755790710449,6000.13720703125,0.017656249925494194
55,55,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:45.498,0.017656249925494194,-0.0008046755790710449,6000.13720703125,0.017656249925494194
56,56,22.0,21.8,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:50.561,0.017656249925494194,-0.0008046755790710449,6000.13720703125,0.017656249925494194
57,57,22.0,21.7,22.48,0.0,0.0,0.0,0.0,False,2023-03-01 12:59:55.566,0.017656249925494194,-0.0008046755790710449,6000.13720703125,0.017656249925494194
58,58,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 13:00:00.578,0.017656249925494194,-0.0008046755790710449,6000.13720703125,0.017656249925494194
59,59,22.0,21.7,22.5,0.0,0.0,0.0,0.0,True,2023-03-01 13:00:05.600,0.017656249925494194,-0.0008274745941162109,6000.13720703125,0.017656249925494194
60,60,22.1,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 13:00:10.649,0.017656249925494194,-0.0008274745941162109,6000.13720703125,0.017656249925494194
61,61,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 13:00:15.705,0.017656249925494194,-0.0008274745941162109,6000.13720703125,0.017656249925494194
62,62,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 13:00:20.707,0.017656249925494194,-0.0008274745941162109,6000.13720703125,0.017656249925494194
63,63,22.0,21.7,22.5,0.0,0.0,0.0,0.0,False,2023-03-01 13:00:25.719,0.017656249925494194,-0.0008274745941162109,6000.13720703125,0.017656249925494194
